Afghanistan	Kabul
Albania	Tirana (Tirane)
Algeria	Algiers
Andorra	Andorra la Vella
Angola	Luanda
Antigua and Barbuda	Saint John's
Argentina	Buenos Aires
Armenia	Yerevan
Australia	Canberra
Austria	Vienna
Azerbaijan	Baku
Bahamas	Nassau
Bahrain	Manama
Bangladesh	Dhaka
Barbados	Bridgetown
Belarus	Minsk
Belgium	Brussels
Belize	Belmopan
Benin	Porto Novo[1]
Bhutan	Thimphu
Bolivia	La Paz (administrative), Sucre (official)[2]
Bosnia and Herzegovina	Sarajevo
Botswana	Gaborone
Brazil	Brasilia
Brunei	Bandar Seri Begawan
Bulgaria	Sofia
Burkina Faso	Ouagadougou
Burundi	Gitega[3]
Cambodia	Phnom Penh
Cameroon	Yaounde
Canada	Ottawa
Cape Verde	Praia
Central African Republic	Bangui
Chad	N'Djamena
Chile	Santiago
China	Beijing
Colombia	Bogota
Comoros	Moroni
Congo, Democratic Republic of the	Kinshasa
Congo, Republic of the	Brazzaville
Costa Rica	San Jose
Côte d'Ivoire (Ivory Coast)	Yamoussoukro[4]
Croatia	Zagreb
Cuba	Havana
Cyprus	Nicosia
Czech Republic (Czechia)[5]	Prague
Denmark	Copenhagen
Djibouti	Djibouti
Dominica	Roseau
Dominican Republic	Santo Domingo
East Timor	Dili
Ecuador	Quito
Egypt	Cairo
El Salvador	San Salvador
England[6]	London
Equatorial Guinea	Malabo
Eritrea	Asmara
Estonia	Tallinn
Eswatini (Swaziland)[7]	Mbabana[8]
Ethiopia	Addis Ababa
Federated States of Micronesia	Palikir
Fiji	Suva
Finland	Helsinki
France	Paris
Gabon	Libreville
Gambia	Banjul
Georgia	Tbilisi
Germany	Berlin
Ghana	Accra
Greece	Athens
Grenada	Saint George's
Guatemala	Guatemala City
Guinea	Conakry
Guinea-Bissau	Bissau
Guyana	Georgetown
Haiti	Port au Prince
Honduras	Tegucigalpa
Hungary	Budapest
Iceland	Reykjavik
India	New Delhi
Indonesia	Jakarta
Iran	Tehran
Iraq	Baghdad
Ireland	Dublin
Israel	Jerusalem (very limited international recognition)[9]
Italy	Rome
Jamaica	Kingston
Japan	Tokyo
Jordan	Amman
Kazakhstan	Nur-Sultan[10]
Kenya	Nairobi
Kiribati	Tarawa Atoll
Kosovo	Pristina
Kuwait	Kuwait City
Kyrgyzstan	Bishkek
Laos	Vientiane
Latvia	Riga
Lebanon	Beirut
Lesotho	Maseru
Liberia	Monrovia
Libya	Tripoli
Liechtenstein	Vaduz
Lithuania	Vilnius
Luxembourg	Luxembourg
Madagascar	Antananarivo
Malawi	Lilongwe
Malaysia	Kuala Lumpur[11]
Maldives	Male
Mali	Bamako
Malta	Valletta
Marshall Islands	Majuro
Mauritania	Nouakchott
Mauritius	Port Louis
Mexico	Mexico City
Moldova	Chisinau
Monaco	Monaco
Mongolia	Ulaanbaatar
Montenegro	Podgorica
Morocco	Rabat
Mozambique	Maputo
Myanmar (Burma)	Nay Pyi Taw[12]
Namibia	Windhoek
Nauru	No official capital
Nepal	Kathmandu
Netherlands	Amsterdam[13]
New Zealand	Wellington
Nicaragua	Managua
Niger	Niamey
Nigeria	Abuja
North Korea	Pyongyang
North Macedonia (Macedonia)[14]	Skopje
Northern Ireland[15]	Belfast
Norway	Oslo
Oman	Muscat
Pakistan	Islamabad
Palau	Melekeok
Panama	Panama City
Papua New Guinea	Port Moresby
Paraguay	Asuncion
Peru	Lima
Philippines	Manila
Poland	Warsaw
Portugal	Lisbon
Qatar	Doha
Romania	Bucharest
Russia	Moscow
Rwanda	Kigali
Saint Kitts and Nevis	Basseterre
Saint Lucia	Castries
Saint Vincent and the Grenadines	Kingstown
Samoa	Apia
San Marino	San Marino
Sao Tome and Principe	Sao Tome
Saudi Arabia	Riyadh
Scotland[16]	Edinburgh
Senegal	Dakar
Serbia	Belgrade
Seychelles	Victoria
Sierra Leone	Freetown
Singapore	Singapore
Slovakia	Bratislava
Slovenia	Ljubljana
Solomon Islands	Honiara
Somalia	Mogadishu
South Africa	Pretoria, Bloemfontein, Cape Town[17]
South Korea	Seoul
South Sudan	Juba
Spain	Madrid
Sri Lanka	Colombo[18]
Sudan	Khartoum
Suriname	Paramaribo
Sweden	Stockholm
Switzerland	Bern
Syria	Damascus
Taiwan[19]	Taipei
Tajikistan	Dushanbe
Tanzania	Dodoma[20]
Thailand	Bangkok
Togo	Lome
Tonga	Nuku'alofa
Trinidad and Tobago	Port of Spain
Tunisia	Tunis
Turkey	Ankara
Turkmenistan	Ashgabat
Tuvalu	Funafuti[21]
Uganda	Kampala
Ukraine	Kiev
United Arab Emirates	Abu Dhabi
United Kingdom	London
United States	Washington D.C.
Uruguay	Montevideo
Uzbekistan	Tashkent
Vanuatu	Port Vila
Vatican City	Vatican City
Venezuela	Caracas
Vietnam	Hanoi
Wales[22]	Cardiff
Yemen	Sana'a[23]
Zambia	Lusaka
Zimbabwe	Harare
